geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,label
TMEM56,1.0,0.0,0.0,0.0,38.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,41.0,40.0,792.0,0.214285714,0.071428571,0.071428571,0.642857143,0.0,1.0,0.0,0.0,0.962478638,1.025352147,0.445214286,0.0,2.25,2.75,0.297353553,1.0,0.440334654,0.80150606,17.80060546,452.0,-0.008146142,9.71e-06,3.0,1.305119,1.6895903,5.691765,1.9639691,-5.4742426,0.5330336,0.013293112,0.486276834,0.25,0.75,0.25,1.0,0.5,0.5,1.75,0.5,4.25,0.5,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.75,1.75,0.0,0.0,0.0,0.25,0.5,0.25,1.25,1.75,0.25,1.0,2.5,13.14,0.0,6.18850641933815,13.741057199118131,0.0
LIF,4.0,0.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,26.0,33.0,609.0,0.266666667,0.0,0.066666667,0.533333333,0.0,1.0,0.066666667,0.066666667,0.965872263,0.907090965,0.415666667,0.0,1.6,2.2,0.354233085,1.0,0.438020149,0.799601563,19.06559021,211.0,0.04320424,0.0,1.0,2.0163333,1.7212551,6.771143,1.9079046,-4.6404,0.7372665,0.015700919,0.678518654,0.8,0.4,0.8,0.0,0.4,0.6,1.0,0.4,1.4,0.4,0.4,0.0,0.4,0.2,0.0,1.2,0.0,2.2,2.0,2.4,1.0,0.6,0.0,0.2,0.0,0.0,0.8,1.2,2.2,0.2,0.2,1.2,16.60603002,34.86341111,6.18862729944813,14.188287817055938,0.0
ZNF507,9.0,3.0,1.0,0.0,138.0,17.0,0.0,0.0,1.0,0.0,10.0,3.0,156.0,149.0,2862.0,0.1875,0.041666667,0.020833333,0.666666667,0.0,1.0,0.083333333,0.0,0.911773936,0.901477146,0.419854167,0.0,3.2,3.9,0.561167228,1.0,0.423190859,0.78710622,18.18689333,596.0,-0.06592181,1.46e-06,5.0,1.8145202,1.7268367,6.570533,2.432871,-3.4047402,0.4388314,0.014307207,0.563281703,0.75,2.5,2.5,1.5,1.0,1.0,6.75,3.75,10.75,5.5,5.0,1.25,1.25,3.25,2.0,0.5,2.0,8.75,0.5,3.75,12.25,9.25,0.0,2.0,1.0,0.0,1.5,4.0,3.75,1.75,1.0,9.0,16.60603002,34.86341111,6.360972443615415,11.153575416727154,0.0
RGCC,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,7.0,414.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.406498187,0.477,0.0,3.0,3.0,1.0,1.0,0.259268862,0.609253223,18.01344536,508.0,0.04327878,5.9e-06,8.0,-1.266,2.2428198,5.6475,1.9553352,-9.167143,1.5864078,0.054151754,17.69473854,0.0,0.333333333,0.666666667,0.0,0.0,0.0,0.333333333,0.0,4.0,2.666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.333333333,0.333333333,0.333333333,1.333333333,0.333333333,0.666666667,0.0,0.0,1.333333333,0.333333333,0.333333333,0.333333333,0.0,0.333333333,16.60603002,34.86341111,5.534066538714128,11.633458723377652,0.0
ALG1,9.0,0.0,0.0,0.0,51.0,3.0,0.0,0.0,5.0,1.0,9.0,0.0,60.0,65.0,1395.0,0.142857143,0.0,0.0,0.857142857,0.0,1.0,0.0,0.0,1.0,1.172778215,0.391571429,0.0,4.0,4.0,1.0,1.0,0.188288458,0.502688786,19.07508816,419.0,0.002509425,2.85e-06,6.0,-0.56690145,1.5516695,5.4151613,1.24942865,-5.203,1.306187,0.014470096,0.576289941,0.4,0.6,2.0,0.6,2.4,4.4,6.6,3.0,13.6,7.2,9.4,0.4,1.4,2.0,1.4,0.6,3.8,7.2,6.0,15.6,8.4,8.2,0.4,2.6,1.8,0.8,4.8,6.8,5.2,1.4,0.0,4.4,21.041,645.051362,6.532100528230167,11.435455206518943,0.0
MID2,1.0,2.0,0.0,0.0,127.0,14.0,0.0,0.0,1.0,0.0,1.0,2.0,142.0,125.0,2208.0,0.3125,0.104166667,0.0,0.583333333,0.0,1.0,0.0,0.0,0.949232573,0.482972637,0.467604167,0.0,1.75,2.0625,0.080599661,1.0,0.944287063,0.998418382,17.35247196,442.7397812,0.04869149,0.000724051,118.0,0.31609756,0.38352709,1.3220259,0.28005203,-3.9270908,0.6064181,0.049691541,6.797514761,0.8,1.8,0.8,0.4,0.8,1.2,0.2,2.0,7.6,2.8,4.8,1.2,0.8,1.0,0.8,0.8,1.8,3.4,1.8,7.6,4.4,8.8,0.8,0.4,2.4,1.2,3.2,3.6,3.4,0.4,0.0,3.0,16.60603002,34.86341111,6.029206515115344,12.252654413696307,0.0
MSL3,11.0,4.0,0.0,0.0,93.0,8.0,0.0,0.0,6.0,0.0,12.0,4.0,106.0,106.0,1566.0,0.1,0.033333333,0.1,0.633333333,0.0,1.0,0.133333333,0.0,0.823377626,0.474081545,0.616,0.0,4.75,6.75,0.150082545,1.0,0.113726828,0.360963943,15.72008791,442.7397812,0.0408928,2.59e-05,16.0,-0.63066664,1.4308409,1.6052283,0.25315555,-10.874186,5.6520056,0.054151754,17.69473854,2.0,0.8,1.4,0.4,2.0,1.4,5.0,1.0,15.4,3.2,4.8,1.6,0.4,0.6,0.0,0.8,1.2,3.2,1.2,4.8,5.6,10.6,0.0,2.4,2.0,0.4,1.0,0.8,4.4,1.0,1.0,5.2,16.60603002,34.86341111,6.393356026698943,11.011082305432767,0.0
SENP8,6.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,26.0,28.0,639.0,0.111111111,0.333333333,0.0,0.444444444,0.0,1.0,0.111111111,0.0,0.719586776,0.892396419,0.663333333,0.0,2.0,4.0,0.00313,1.0,0.784929356,0.975009072,20.11054703,352.0,0.02573422,4.18e-06,13.0,3.0114517,1.740899,7.367568,2.2593271,-3.4356,0.31028802,0.054151754,17.69473854,0.0,0.4,0.0,0.0,0.2,0.0,0.2,0.6,2.4,1.2,0.8,0.2,0.0,0.6,0.6,0.2,0.4,0.4,0.0,0.0,1.0,0.6,0.0,0.0,0.4,0.4,0.2,0.8,0.4,0.4,0.2,1.4,16.60603002,34.86341111,4.084879279429929,7.101356865436547,0.0
CAPN9,4.0,3.0,0.0,0.0,124.0,8.0,0.0,0.0,7.0,0.0,4.0,3.0,139.0,122.0,2073.0,0.170731707,0.024390244,0.048780488,0.756097561,0.0,1.0,0.0,0.0,0.969248389,0.769946548,0.500731707,0.0,3.875,4.25,0.64516129,1.0,0.049331557,0.19777965,18.74352551,550.0,0.006859743,6.18e-09,2.0,6.9241926,3.0004531,9.941036,3.3218566,-2.7821738,0.74689374,0.154358828,65.559187,0.0,0.4,1.4,0.4,1.2,1.6,6.8,1.2,12.0,3.8,3.8,0.4,0.2,0.4,0.8,0.8,1.8,2.0,2.6,7.0,8.2,5.6,0.0,1.2,1.8,1.2,1.0,2.8,8.8,1.6,0.0,5.2,16.60603002,34.86341111,4.334423275868897,10.993858183219915,0.0
POU2F2,1.0,2.0,1.0,0.0,88.0,5.0,0.0,0.0,4.0,0.0,2.0,2.0,97.0,95.0,1440.0,0.205882353,0.0,0.029411765,0.764705882,0.147058824,0.905003646,0.0,0.0,0.932882062,0.615060535,0.349617647,0.0,3.25,3.375,0.868809731,0.00026,0.34734,0.000931286,19.70598381,369.0,0.03168451,1.9e-06,15.0,0.02859296,1.325219,4.5364764,0.840996,-5.0068084,1.3952555,0.054415294,8.148442406,1.8,1.2,0.2,0.2,1.8,2.0,4.4,1.2,12.4,5.8,8.0,0.0,0.0,0.0,0.6,0.6,1.4,5.6,11.2,11.2,9.0,5.2,0.6,0.4,0.8,1.8,1.4,6.0,4.0,0.6,0.0,4.4,27.885,0.0,4.88836188699417,12.03938375244125,0.0
CREBL2,0.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,20.0,363.0,0.142857143,0.142857143,0.0,0.714285714,0.0,1.0,0.0,0.0,1.0,0.597878689,0.639857143,0.0,2.5,3.0,0.783085356,1.0,0.234907212,0.575185503,19.5943514,157.0,0.03157048,0.0,1.0,-4.1756097,1.4568823,2.4889473,0.65692333,-9.931364,1.4630124,0.00613414,0.103551664,0.75,0.25,0.75,1.75,0.5,0.0,0.5,0.0,1.5,1.25,1.5,0.25,0.75,0.0,0.5,0.5,0.25,0.75,1.0,1.5,3.25,0.25,0.0,0.5,0.5,0.0,0.25,1.5,0.5,0.25,0.25,0.25,0.942,0.0,7.404639818372006,13.804561904527866,0.0
KCNG3,0.0,1.0,0.0,0.0,45.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,46.0,47.0,1311.0,0.2,0.05,0.0,0.75,0.0,1.0,0.0,0.0,0.953724357,0.613853647,0.4289,0.0,3.0,3.2,0.517063082,1.0,0.437828371,0.79944321,17.95516459,368.0,0.02388972,6.91e-07,4.0,1.3060205,0.60887695,3.1353623,0.64391764,-3.0465517,0.26684187,0.038840297,4.151518388,0.0,0.0,0.0,0.0,0.333333333,0.333333333,1.333333333,0.666666667,4.0,1.333333333,1.666666667,0.666666667,0.333333333,0.0,0.333333333,0.0,0.333333333,0.0,0.333333333,2.0,2.666666667,3.666666667,0.333333333,0.333333333,0.333333333,0.666666667,0.666666667,1.0,1.0,0.333333333,0.333333333,4.333333333,16.60603002,34.86341111,2.988046495115304,7.765828439454049,0.0
RORC,2.0,3.0,1.0,0.0,103.0,4.0,0.0,0.0,2.0,0.0,3.0,3.0,109.0,109.0,1557.0,0.216216216,0.0,0.027027027,0.756756757,0.0,1.0,0.0,0.0,0.958495412,0.773459608,0.451972973,0.0,3.111111111,3.222222222,0.92936803,1.0,0.051813472,0.205186793,19.95247253,212.0,0.0326864,1.26e-05,23.0,7.8044936,3.9484218,12.1803634,4.4988535,-3.8409676,0.63695707,0.101454034,28.322021,0.4,0.0,0.8,0.0,0.0,0.6,4.4,0.6,6.8,6.4,8.0,0.4,0.6,0.0,0.4,0.6,0.8,3.8,7.6,10.8,8.4,3.6,0.4,0.0,0.2,1.2,1.2,5.0,2.6,0.0,0.2,5.0,11.88,0.5202,6.593361506422217,13.954821025760562,0.0
CYP27B1,4.0,3.0,0.0,0.0,76.0,4.0,0.0,0.0,1.0,0.0,4.0,3.0,81.0,85.0,1527.0,0.217391304,0.043478261,0.0,0.739130435,0.0,1.0,0.0,0.0,1.0,1.059217144,0.428565217,0.0,2.833333333,3.0,0.777604977,1.0,0.178954903,0.486868547,20.14674889,344.0,0.03909095,0.0,0.0,2.6085394,3.584632,5.9493702,4.0215768,-5.7107843,1.565777,0.063315435,11.0319712,1.2,0.0,1.4,0.4,0.8,1.4,2.8,0.8,4.4,2.8,4.2,0.0,0.0,1.6,0.0,0.8,0.4,2.6,3.6,3.0,5.4,3.2,0.4,0.8,0.2,1.6,0.8,2.2,5.2,0.0,0.0,5.2,16.60603002,34.86341111,4.622871025885581,11.979500327077837,0.0
GATA4,0.0,1.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,51.0,1329.0,0.411764706,0.058823529,0.0,0.529411765,0.0,1.0,0.0,0.0,1.0,0.818919535,0.297058824,0.0,1.125,1.25,0.537345513,1.0,0.754716981,0.967103743,18.85654103,360.0,0.02684892,2.03e-05,23.0,2.7258823,1.5635662,5.7370886,1.1913361,-7.6169565,1.5103936,0.05698655,8.936926057,0.4,0.0,0.0,0.0,0.2,0.8,2.4,0.0,2.0,1.8,2.6,0.0,0.2,0.0,0.2,0.2,0.6,2.2,0.8,5.8,1.6,6.0,0.0,0.4,0.0,0.6,1.4,3.2,2.6,0.0,0.0,1.0,0.196,0.0,5.11793594239451,12.902431781217173,0.0
CLYBL,0.0,3.0,1.0,0.0,55.0,6.0,0.0,0.0,5.0,0.0,1.0,3.0,66.0,68.0,1023.0,0.185185185,0.0,0.037037037,0.740740741,0.0,1.0,0.037037037,0.0,0.968842975,0.606917402,0.499148148,0.0,3.333333333,3.666666667,0.819672131,1.0,0.095702938,0.320270483,18.23717821,612.0,0.04463302,6.18e-08,3.0,0.58440296,3.425118,7.2607055,2.2556499,-10.9969385,3.384512,0.054151754,17.69473854,1.5,0.75,1.75,1.75,3.25,0.0,4.75,0.75,12.75,2.25,7.5,0.0,2.25,0.0,0.75,1.75,1.0,0.75,4.25,1.0,9.5,0.75,0.0,2.0,1.0,0.75,2.75,0.75,10.0,1.0,1.75,4.25,16.60603002,34.86341111,5.050217474423887,10.641201684223915,0.0
RNF7,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,16.0,342.0,0.0,0.0,0.25,0.75,0.0,1.0,0.0,0.0,1.0,0.253841032,0.893,0.0,3.0,4.0,0.276319425,1.0,0.212449543,0.54154467,18.63170853,406.0,0.02870444,0.000133332,57.0,2.5075,1.913883,5.8488,1.6688475,-9.425714,1.0864742,0.006129505,0.103393586,0.0,0.0,0.4,0.2,0.0,0.8,0.2,0.0,0.4,0.8,0.2,0.0,0.0,0.2,0.0,0.2,0.4,0.2,0.2,0.4,0.6,1.2,0.0,0.0,0.0,0.2,0.2,0.8,0.2,0.0,0.0,0.8,16.60603002,34.86341111,7.283113933804772,13.034313441240917,0.0
HEXIM2,0.0,1.0,0.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,41.0,861.0,0.454545455,0.090909091,0.0,0.363636364,0.0,1.0,0.090909091,0.0,0.947442759,0.834795741,0.393,0.0,0.666666667,1.0,0.704225352,1.0,0.390777648,0.757958795,19.62187212,207.0,0.0321072,9.26e-06,19.0,-0.62011112,1.3127192,4.067708,0.73781954,-5.977619,1.4524625,0.019186608,1.011915775,0.0,0.333333333,1.333333333,0.0,1.0,0.333333333,1.0,0.0,4.666666667,1.0,3.666666667,0.0,0.333333333,0.0,0.0,0.333333333,0.0,1.666666667,0.666666667,4.0,2.0,5.333333333,0.0,1.333333333,0.0,0.0,0.333333333,0.666666667,4.333333333,0.0,0.0,2.333333333,16.60603002,34.86341111,5.190910143351367,9.929235371965552,0.0
SPRR2E,1.0,1.0,0.0,0.0,24.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,27.0,28.0,219.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.838357512,0.274,0.0,2.0,2.0,1.0,1.0,0.27909573,0.635277823,19.39055839,704.0,0.02970638,4.27e-06,8.0,9.342545,4.3975994,12.375682,4.979367,-2.79,0.31177758,0.148740944,60.87878844,0.25,0.5,0.75,0.0,0.75,0.5,0.0,0.25,1.75,1.75,2.0,0.0,0.25,0.0,0.25,0.75,0.25,1.5,1.5,0.0,0.5,0.25,0.0,0.25,0.25,0.25,1.25,1.0,1.75,0.0,0.0,1.25,14.09,0.0,7.013181069146897,17.981127206833538,0.0
ENHO,1.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,18.0,231.0,0.0,0.0,0.0,0.833333333,0.0,1.0,0.166666667,0.0,1.0,0.895292546,0.563,0.0,5.0,6.0,1.0,1.0,0.379506641,0.747204244,19.68538975,370.0,0.05465368,0.0,0.0,-1.6735898,1.6942408,2.6732,0.641243,-9.435715,2.7563533,0.054151754,17.69473854,0.0,0.666666667,0.0,0.333333333,0.0,0.333333333,2.333333333,0.666666667,0.666666667,0.666666667,0.666666667,0.0,0.0,0.333333333,0.333333333,0.0,1.0,0.666666667,0.666666667,0.333333333,0.666666667,1.0,0.0,0.0,0.0,0.333333333,0.0,1.0,0.333333333,0.0,0.0,0.333333333,16.60603002,34.86341111,5.533027552194006,13.816941084928676,0.0
NOL11,3.0,1.0,0.0,0.0,86.0,9.0,0.0,0.0,3.0,2.0,3.0,1.0,100.0,90.0,2160.0,0.310344828,0.034482759,0.034482759,0.517241379,0.0,1.0,0.068965517,0.0,0.921133759,1.016137204,0.436827586,0.034482759,1.5,2.0,0.613496933,1.0,0.368188513,0.736067824,19.40170827,197.0,0.006606733,1.99e-05,16.0,4.0593103,1.8248107,7.5874634,2.1205561,-3.4312308,0.38198747,0.009750318,0.261608973,2.75,3.0,1.5,2.5,0.75,1.5,2.75,6.75,13.75,2.5,7.0,2.0,1.5,3.75,2.0,0.75,0.75,6.0,1.5,0.75,4.5,5.5,3.0,1.5,1.5,0.75,4.25,1.25,7.75,0.75,0.75,9.0,16.60603002,34.86341111,6.971388315021343,12.459100757273683,0.0
KLHL25,4.0,3.0,0.0,0.0,106.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,110.0,106.0,1770.0,0.319148936,0.063829787,0.0,0.617021277,0.0,1.0,0.0,0.0,0.974125716,0.613835448,0.462382979,0.0,1.8125,2.0,0.198452074,1.0,0.319590924,0.684152593,17.28313268,592.0,-0.01112641,4.43e-06,4.0,-0.7861404,1.7969482,4.2947542,1.1404295,-6.633963,1.925443,0.009909055,0.2701927,0.0,0.4,1.6,0.0,1.2,0.4,7.2,0.2,3.4,2.8,4.0,0.0,0.0,2.0,0.4,1.2,1.6,2.8,3.2,6.4,6.8,12.0,0.0,0.0,0.0,0.0,2.0,4.4,3.2,0.0,0.4,1.2,16.60603002,34.86341111,5.819088093048091,11.600107355083336,0.0
ODF3L1,1.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,39.0,825.0,0.285714286,0.0,0.0,0.571428571,0.0,1.0,0.142857143,0.0,1.0,1.3068923,0.371428571,0.0,1.333333333,1.666666667,1.0,1.0,0.338409475,0.705075686,19.12018724,231.0,0.04369609,1.07e-07,2.0,-0.6502564,0.9922836,2.951111,0.36086896,-5.561212,1.46038765,0.023511815,1.521659476,0.0,0.2,0.0,0.0,0.8,0.6,0.4,0.0,1.4,1.6,1.4,0.0,0.0,0.0,0.4,0.8,0.2,0.8,2.0,1.2,0.0,2.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4,0.2,0.4,0.4,16.60603002,34.86341111,2.702048315338772,6.367800809767615,0.0
CCDC108,32.0,9.0,6.0,1.0,347.0,22.0,0.0,0.0,6.0,0.0,38.0,10.0,375.0,332.0,5778.0,0.323529412,0.036764706,0.0,0.610294118,0.0,1.0,0.007352941,0.022058824,0.974826445,1.088312306,0.257169118,0.0,1.844444444,2.044444444,0.871839582,1.0,0.579038796,0.895417371,19.73501633,324.0,0.0358794,7.21e-08,2.0,-0.050096493,1.3247999,3.6637057,0.60487464,-6.879932,1.9328127,0.054151754,17.69473854,4.8,0.8,4.4,2.2,5.0,8.8,16.0,5.2,42.0,17.0,32.4,0.6,3.0,2.4,2.2,4.8,9.0,27.8,29.0,39.8,28.8,27.4,0.6,6.6,4.4,2.8,14.0,23.4,42.6,3.0,1.6,12.6,10.29088,28.59882565,3.557608532198697,9.703268863216293,0.0
TCTE3,1.0,0.0,0.0,0.0,30.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,34.0,31.0,597.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.323364046,0.2825,0.0,0.666666667,0.666666667,1.0,1.0,0.512820513,0.855297114,17.83398025,447.0,0.002818043,0.0,0.0,-0.51926468,1.3095515,2.6617391,0.54003475,-7.1704544,2.3357768,0.009629941,0.25520281,1.0,0.4,0.2,0.8,0.2,0.8,1.2,0.0,3.4,0.4,0.6,0.0,0.4,0.0,0.2,0.0,0.2,1.0,0.8,0.6,2.6,1.0,0.6,0.4,0.4,0.2,0.2,0.8,0.4,0.6,0.0,3.0,16.60603002,34.86341111,4.016953168141596,8.034996214128745,0.0
FBXO4,5.0,2.0,0.0,0.0,58.0,6.0,1.0,0.0,0.0,0.0,5.0,2.0,65.0,70.0,1164.0,0.290322581,0.096774194,0.0,0.580645161,0.0,1.0,0.032258065,0.0,0.934887391,1.036339408,0.368354839,0.0,1.8,2.2,0.530222694,1.0,0.856164384,0.98912062,16.79176829,795.0,0.02349055,4.2e-06,14.0,9.8422386,8.142384,14.492899,9.9515356,-3.8361765,0.37856698,0.007887891,0.171309619,1.0,2.666666667,1.0,0.0,2.0,0.0,0.0,0.0,13.33333333,1.333333333,1.333333333,3.333333333,2.666666667,2.333333333,0.0,0.666666667,2.0,4.0,1.0,0.666666667,2.666666667,0.666666667,0.0,1.333333333,3.333333333,0.666666667,1.333333333,4.0,4.333333333,1.0,0.666666667,9.333333333,32.0,0.0,5.444656038931279,9.652211957774677,0.0
PARS2,2.0,0.0,0.0,0.0,62.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,63.0,61.0,1428.0,0.136363636,0.045454545,0.0,0.818181818,0.0,1.0,0.0,0.0,1.0,0.921947519,0.433090909,0.0,4.5,4.75,0.573065903,1.0,0.241138172,0.584129535,19.14145558,343.0,0.02319672,2.42e-06,6.0,-0.4836508,3.103712,4.571977,2.3665255,-11.35325,3.0145897,0.011746251,0.379668411,0.333333333,0.333333333,0.0,0.0,0.333333333,1.0,1.666666667,0.0,3.0,1.333333333,1.0,0.0,0.333333333,1.0,0.0,0.666666667,0.333333333,2.333333333,1.666666667,4.333333333,2.0,2.333333333,0.0,0.0,0.0,0.666666667,1.0,1.666666667,2.333333333,0.333333333,0.0,0.666666667,8.7675,11.0685125,5.11877012197853,8.849633234662688,0.0
ADRA1B,4.0,0.0,2.0,0.0,68.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0,73.0,1563.0,0.230769231,0.038461538,0.0,0.692307692,0.0,1.0,0.0,0.038461538,1.0,0.660650139,0.468153846,0.0,2.571428571,2.857142857,0.514933059,1.0,0.032162614,0.142703929,17.65417379,458.0,0.03107486,2.81e-07,2.0,-2.183617,1.3605523,2.551795,0.51885424,-8.046508,1.7964425,0.016630069,0.761470105,0.666666667,0.333333333,0.0,0.0,0.666666667,1.666666667,1.666666667,0.333333333,2.666666667,0.666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.666666667,2.333333333,2.666666667,3.333333333,4.0,8.666666667,0.0,0.333333333,0.333333333,0.0,0.666666667,3.666666667,2.666666667,0.0,0.0,1.0,16.60603002,34.86341111,4.039071374306833,9.482506054509766,0.0
KCNA7,1.0,1.0,0.0,0.0,68.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,69.0,65.0,1371.0,0.260869565,0.0,0.0,0.695652174,0.0,1.0,0.043478261,0.0,1.0,0.953753456,0.356565217,0.0,2.285714286,2.428571429,1.0,1.0,0.171969046,0.474710367,20.9812976,200.0,0.03512479,0.0,0.0,1.2832624,1.0431742,5.127436,0.8730485,-3.4761906,0.8551946,0.029574934,2.407960262,1.0,0.0,2.0,0.5,0.0,0.0,6.5,0.5,2.0,0.5,5.0,0.0,0.5,1.5,0.0,0.0,0.0,3.0,4.0,6.0,7.5,9.0,0.0,1.5,0.0,1.0,1.5,2.5,3.0,0.0,0.0,2.0,13.601,6.25,1.7433947046730809,7.706842958312255,0.0
HIST1H3E,2.0,0.0,0.0,0.0,45.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,47.0,48.0,411.0,0.421052632,0.0,0.0,0.526315789,0.0,1.0,0.0,0.0,0.976862179,0.432907464,0.471263158,0.052631579,1.111111111,1.222222222,0.511247444,1.0,0.846740051,0.987605027,18.57374037,544.0,0.05680035,8.48e-06,30.0,1.4056384,1.7544197,5.5323333,1.2059411,-5.8767647,1.9321632,0.101594092,28.40372097,0.0,0.333333333,1.0,0.0,0.333333333,0.0,1.333333333,0.333333333,1.333333333,1.0,1.333333333,0.0,0.0,0.333333333,0.333333333,0.333333333,0.0,0.333333333,0.666666667,2.333333333,2.333333333,7.666666667,0.0,0.0,0.333333333,0.333333333,0.333333333,0.666666667,1.0,0.0,0.0,2.0,16.60603002,34.86341111,3.8942243510030528,8.056728120836643,0.0
CELF6,0.0,1.0,0.0,0.0,55.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,60.0,55.0,1446.0,0.391304348,0.086956522,0.0,0.47826087,0.0,1.0,0.043478261,0.0,0.954298351,0.309095288,0.498956522,0.0,1.1,1.4,0.403551251,1.0,0.142065634,0.419301906,20.10566813,260.0,0.04736175,0.0,0.0,-0.4952033,3.7855074,5.372027,3.4417562,-9.355918,3.0549712,0.054151754,17.69473854,0.8,0.2,1.2,1.0,1.4,1.0,2.8,0.0,5.8,3.0,3.0,0.4,0.0,0.4,0.0,1.0,0.8,1.2,1.6,5.2,4.8,4.8,0.8,0.6,0.0,0.0,2.0,3.4,0.2,0.0,0.0,1.4,16.60603002,34.86341111,4.632364685125084,10.26589030921135,0.0
TMEM110-MUSTN1,2.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,23.0,1119.0,0.0,0.0,0.0,0.75,0.0,1.0,0.25,0.0,1.0,0.537643664,0.61275,0.0,3.0,4.0,1.0,1.0,0.095702938,0.320270483,19.31298702,442.7397812,0.020143467,0.0,0.0,0.08133335,0.4625218,2.3040742,0.5228045,-3.252778,0.20136198,0.054151754,17.69473854,0.0,0.75,0.0,0.0,0.0,0.0,7.25,1.5,3.75,1.75,3.25,0.0,0.0,0.5,0.0,0.5,0.5,3.5,5.25,3.25,9.25,8.25,0.0,1.25,0.0,1.25,2.75,3.0,1.75,0.0,0.0,4.25,16.60603002,34.86341111,5.534066538714128,11.633458723377652,0.0
CLDN20,1.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,26.0,660.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.902205433,0.434666667,0.0,3.0,3.0,1.0,1.0,0.313577924,0.677236559,19.31298702,442.7397812,0.020143467,1.71e-06,2.0,-5.1121566,5.1827613,2.855,0.27429708,-13.398,9.1088824,0.172445902,81.8284409,0.0,0.666666667,0.0,0.666666667,0.333333333,0.0,0.333333333,0.666666667,2.0,0.333333333,1.0,0.0,0.0,0.0,0.0,0.333333333,0.666666667,2.333333333,0.0,0.333333333,1.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,0.333333333,0.666666667,0.0,0.0,2.333333333,16.60603002,34.86341111,1.5912709123741051,5.835790039352548,0.0
OR1K1,3.0,1.0,1.0,0.0,69.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,71.0,72.0,951.0,0.181818182,0.0,0.0,0.818181818,0.0,1.0,0.0,0.0,0.979614198,1.12891327,0.262454545,0.0,3.6,3.6,1.0,1.0,0.053986935,0.211575512,18.72647097,487.0,0.010137,0.0,0.0,-1.23374155,1.6126916,4.269756,0.8778379,-8.176616,1.690301,0.054151754,17.69473854,1.0,0.0,0.666666667,0.666666667,0.666666667,0.0,2.333333333,0.333333333,2.666666667,1.0,0.333333333,0.333333333,0.333333333,1.0,0.0,0.666666667,0.333333333,2.0,1.333333333,3.0,4.0,4.333333333,0.0,0.0,0.0,1.666666667,0.666666667,3.333333333,3.0,0.0,0.333333333,1.0,16.60603002,34.86341111,0.1708061597338973,0.7873300436430232,0.0
