geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,label
ERCC2,1.0,0.0,1.0,0.0,137.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,144.0,137.0,2283.0,0.212765957,0.021276596,0.0,0.744680851,0.063829787,0.973514051,0.0,0.021276596,0.966464808,0.494538263,0.521446809,0.0,3.181818182,3.363636364,0.939849624,0.100200468,0.016705647,0.012374558,20.28822963,215.0,0.02319392,3.21e-05,32.0,2.8635439,2.6968565,8.738344,3.226634,-4.3422658,1.1173554,0.01838202,0.92988218,0.6,4.6,1.2,1.0,0.2,2.8,6.8,2.2,8.8,2.0,6.0,1.4,0.4,1.2,0.2,0.6,0.8,6.4,8.2,17.6,8.4,11.6,0.2,0.6,0.6,2.4,2.4,5.8,8.4,4.4,0.2,8.8,22.56833333,155.9580167,6.255281945483732,11.243923653487212,1.0
GNA11,3.0,0.0,0.0,0.0,96.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,100.0,97.0,1080.0,0.277777778,0.055555556,0.0,0.666666667,0.166666667,0.889471473,0.0,0.0,0.936651039,0.52336144,0.431666667,0.0,2.0,2.166666667,0.657894737,0.00134,0.43282,0.004902282,19.93205179,173.0,0.0254863,0.000111318,28.0,-0.059653464,1.2243571,3.9466936,0.4615603,-6.428718,1.7893529,0.022388412,1.379646893,0.0,0.0,0.5,0.0,0.0,0.5,4.5,0.0,3.25,1.5,0.5,0.0,0.75,0.75,1.5,0.5,20.0,3.0,4.0,14.5,5.25,10.25,0.0,1.5,0.0,0.0,0.5,0.0,4.75,0.75,0.0,5.0,16.60603002,34.86341111,6.3758161170379335,12.015168738937277,1.0
SMARCA4,15.0,3.0,8.0,1.0,390.0,30.0,0.0,0.0,15.0,0.0,23.0,5.0,434.0,395.0,5040.0,0.157894737,0.114832536,0.023923445,0.66507177,0.181818182,0.916438297,0.009569378,0.028708134,0.827557521,0.368430131,0.686220096,0.0,4.088235294,5.176470588,0.0,0.0,0.0,2.4e-09,20.92039066,190.0,0.04046629,0.001194708,199.0,-1.4360465,1.9892778,4.5533933,1.3308806,-7.2554804,1.9445855,0.010633867,0.311113551,1.2,0.6,6.6,0.6,2.4,7.6,19.8,2.2,15.6,8.4,17.2,0.6,4.8,2.4,2.4,5.4,9.0,9.6,18.6,54.0,44.6,48.8,0.0,2.4,3.6,2.4,6.0,15.4,22.8,1.2,0.0,21.4,25.88475,48.17160893,8.238519426996534,15.066787294435418,1.0
STK11,27.0,11.0,0.0,1.0,75.0,40.0,0.0,0.0,13.0,1.0,28.0,15.0,125.0,153.0,1302.0,0.090909091,0.257575758,0.151515152,0.318181818,0.0,1.0,0.181818182,0.0,0.468250871,0.3903664,0.844787879,0.0,3.0,8.571428571,0.0,1.0,0.801282051,0.978799896,21.07860234,234.0,0.02882151,0.000235891,41.0,-8.989114,3.167491,1.5655555,0.19022101,-17.186396,3.9475624,0.105031761,30.35236788,0.0,0.0,0.0,0.0,3.0,3.75,4.0,0.0,4.75,1.25,10.0,0.75,2.0,2.0,6.25,1.5,3.75,7.5,7.0,13.75,12.25,6.5,0.0,0.75,3.0,1.25,3.5,1.75,8.0,0.0,0.75,4.5,35.33333333,16.33333333,7.092263546274651,12.558807589369115,1.0
ATM,69.0,20.0,8.0,0.0,534.0,107.0,1.0,0.0,36.0,0.0,80.0,20.0,675.0,566.0,9171.0,0.086805556,0.121527778,0.055555556,0.645833333,0.069444444,0.971475098,0.079861111,0.010416667,0.772299941,0.612587448,0.688010417,0.0,7.153846154,10.11538462,0.0,0.00059,0.0,1.18e-07,18.66565965,582.0,0.01619721,0.001447922,135.0,-2.3749188,2.0080172,3.0070731,0.68944143,-9.0819605,2.8427267,0.009030641,0.224346024,15.4,4.0,15.8,12.0,10.4,12.4,24.0,10.6,84.0,9.2,26.6,9.6,5.8,6.2,5.6,5.2,7.0,20.4,6.2,8.0,47.8,10.2,6.4,5.4,7.8,4.0,9.4,6.4,17.6,13.4,5.0,46.0,29.43275,31.50830361,6.956025322681556,12.949313938882778,1.0
BIRC3,3.0,0.0,1.0,0.0,89.0,9.0,0.0,0.0,1.0,0.0,4.0,0.0,99.0,90.0,1815.0,0.15625,0.0,0.0,0.8125,0.0,1.0,0.03125,0.0,1.0,0.92958845,0.37003125,0.0,4.333333333,4.5,1.0,1.0,0.277700639,0.633493914,18.82051213,280.0,0.005413656,0.000235504,73.0,-0.56253886,2.5438353,4.8538737,1.47203365,-7.894512,3.0845262,0.015990858,0.704387758,2.8,1.2,1.6,0.6,2.4,1.0,1.0,1.2,11.8,2.2,2.4,0.0,0.0,1.6,1.8,0.4,0.4,2.6,1.6,5.2,5.2,1.8,0.0,0.0,0.6,0.6,0.4,0.4,3.6,0.4,0.8,8.4,16.60603002,34.86341111,6.76355614267211,14.8569454448167,1.0
CHEK1,6.0,1.0,0.0,0.0,65.0,9.0,0.0,0.0,2.0,1.0,6.0,1.0,77.0,80.0,1431.0,0.083333333,0.041666667,0.0,0.791666667,0.0,1.0,0.041666667,0.0,0.924589504,0.743200799,0.534166667,0.041666667,6.333333333,7.333333333,0.698324022,1.0,0.260281104,0.610617664,18.86606937,595.0,0.01786709,0.000543278,74.0,-2.042561,1.98944,3.1453762,0.5058964,-8.8380285,3.1416994,0.011315253,0.35234209,4.25,0.5,1.0,2.0,0.0,2.75,1.5,1.0,4.25,0.0,4.5,1.5,1.5,1.5,0.0,0.5,1.0,3.5,2.5,1.5,11.0,2.5,1.0,0.5,1.5,0.5,1.0,0.5,5.25,0.5,1.0,5.0,16.60603002,34.86341111,5.609882562564299,10.751441747855216,1.0
HRAS,1.0,0.0,0.0,1.0,136.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,138.0,136.0,570.0,0.019607843,0.019607843,0.0,0.941176471,0.823529412,0.393661784,0.019607843,0.0,0.42430111,0.323769539,0.831764706,0.0,24.0,25.0,0.937207123,0.0,0.0,2.4e-09,20.90977885,236.0,0.0415969,0.000264187,65.0,2.5346182,2.7933588,6.8175845,2.9803604,-5.3248454,1.5134016,0.054151754,17.69473854,0.4,0.4,0.8,0.0,0.4,10.2,0.0,3.0,2.0,0.0,1.4,0.0,0.0,0.0,0.6,0.0,16.8,4.8,0.0,23.2,3.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,1.4,0.4,0.0,1.8,23.4,0.0,6.733537038356539,13.402443834900074,1.0
MEN1,20.0,8.0,1.0,0.0,80.0,12.0,0.0,0.0,4.0,0.0,21.0,8.0,96.0,117.0,1848.0,0.243902439,0.146341463,0.024390244,0.487804878,0.0,1.0,0.097560976,0.0,0.8176554,0.419262368,0.622487805,0.0,1.818181818,2.818181818,0.010257568,1.0,0.109721308,0.352184737,21.10902399,230.0,0.06134729,0.000124354,58.0,-5.3888448,3.7488997,3.1043477,0.8872656,-15.761063,5.3085316,0.012194357,0.408949505,1.0,0.0,0.0,0.0,1.333333333,0.0,1.666666667,1.333333333,5.666666667,3.0,3.666666667,0.0,0.0,1.333333333,0.666666667,0.333333333,1.333333333,6.0,5.333333333,12.66666667,4.333333333,12.0,0.666666667,1.666666667,1.333333333,2.0,3.0,3.333333333,4.0,0.0,0.0,6.333333333,32.475,50.16916667,6.95286100064322,12.046170996030984,1.0
ALK,11.0,3.0,2.0,0.0,340.0,24.0,0.0,0.0,9.0,0.0,13.0,3.0,373.0,324.0,4863.0,0.233128834,0.036809816,0.012269939,0.693251534,0.141104294,0.894802935,0.012269939,0.012269939,0.891227304,0.582521797,0.521141104,0.0,2.897435897,3.205128205,0.714796283,0.0,0.00025,5.2e-08,17.62541206,882.0,0.01878041,0.000155371,62.0,2.2365691,1.32537205,5.357647,1.1806043,-5.073689,0.9052727,0.02481353,1.69691897,2.25,4.5,3.0,1.5,5.0,9.75,17.0,2.25,35.25,17.0,32.75,2.75,2.25,1.25,2.5,3.0,9.25,24.25,26.5,36.5,29.0,22.0,1.5,2.75,1.25,4.5,16.75,19.0,43.75,1.5,3.0,19.25,11.7670625,162.144688,3.869273078938447,13.03412255703117,1.0
