Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum
A1BG,0.0,18.0,0.0,5.0,2.0,1.0,1.0,0.0,44.0,73.0,5.0,0.0,0.0,26.0,2.0,0.0,5.0,1.0,0.0,171.0,0.0,151
A1CF,0.0,9.0,0.0,31.0,8.0,3.0,0.0,0.0,7.0,174.0,22.0,0.0,0.0,72.0,12.0,1.0,10.0,3.0,0.0,326.0,0.0,248
A2M,0.0,11.0,0.0,13.0,4.0,0.0,0.0,0.0,14.0,320.0,27.0,0.0,0.0,129.0,8.0,0.0,8.0,2.0,0.0,516.0,0.0,386
A2ML1,0.0,0.0,0.0,12.0,5.0,4.0,1.0,0.0,6.0,318.0,23.0,0.0,0.0,125.0,11.0,0.0,6.0,4.0,0.0,495.0,0.0,370
A3GALT2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,0.0,32.0,0.0,32
A4GALT,0.0,12.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,61.0,4.0,0.0,0.0,40.0,0.0,0.0,5.0,1.0,0.0,117.0,0.0,98
A4GNT,0.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,80.0,5.0,0.0,0.0,31.0,1.0,0.0,2.0,2.0,0.0,122.0,0.0,106
AAAS,0.0,3.0,0.0,9.0,8.0,1.0,1.0,0.0,0.0,74.0,7.0,0.0,0.0,35.0,1.0,0.0,9.0,1.0,1.0,128.0,0.0,108
AACS,0.0,11.0,0.0,4.0,3.0,1.0,0.0,0.0,8.0,108.0,6.0,0.0,0.0,53.0,5.0,0.0,4.0,1.0,0.0,194.0,0.0,164
AACSP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,55.0,0.0,51
AADAC,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,82.0,9.0,0.0,0.0,44.0,0.0,0.0,3.0,3.0,0.0,141.0,0.0,127
AADACL2,0.0,11.0,0.0,12.0,3.0,1.0,2.0,0.0,0.0,123.0,13.0,0.0,0.0,20.0,2.0,0.0,6.0,1.0,0.0,180.0,0.0,145
AADACL3,15.0,0.0,3.0,15.0,1.0,1.0,0.0,0.0,0.0,72.0,6.0,0.0,0.0,37.0,0.0,1.0,1.0,1.0,0.0,149.0,0.0,129
AADACL4,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,105.0,7.0,0.0,0.0,45.0,3.0,0.0,0.0,1.0,0.0,168.0,0.0,141
AADAT,0.0,1.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,55.0,3.0,0.0,0.0,19.0,2.0,0.0,2.0,1.0,0.0,89.0,0.0,85
AAED1,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,38.0,0.0,36
AAGAB,0.0,5.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0,32.0,3.0,0.0,0.0,15.0,1.0,0.0,5.0,0.0,0.0,63.0,0.0,63
AAK1,41.0,50.0,0.0,8.0,2.0,0.0,2.0,0.0,10.0,115.0,5.0,0.0,0.0,47.0,4.0,0.0,10.0,4.0,0.0,270.0,0.0,209
AAMDC,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,2.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,28.0,0.0,29
AAMP,0.0,14.0,0.0,9.0,5.0,0.0,0.0,0.0,5.0,34.0,4.0,0.0,0.0,15.0,6.0,0.0,5.0,0.0,0.0,87.0,0.0,80
AANAT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,2.0,1.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,47
AAR2,0.0,16.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,66.0,0.0,0.0,0.0,30.0,2.0,0.0,3.0,0.0,0.0,116.0,0.0,103
AARD,0.0,17.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,26.0,1.0,0.0,3.0,0.0,0.0,85.0,0.0,74
AARS,0.0,9.0,0.0,0.0,6.0,3.0,0.0,0.0,2.0,117.0,7.0,0.0,0.0,60.0,4.0,0.0,6.0,3.0,0.0,199.0,0.0,175
AARS2,0.0,12.0,0.0,1.0,8.0,1.0,0.0,0.0,18.0,149.0,10.0,0.0,0.0,63.0,5.0,0.0,9.0,1.0,0.0,257.0,0.0,211
AARSD1,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,19.0,0.0,0.0,3.0,0.0,0.0,67.0,0.0,61
AASDH,0.0,2.0,0.0,1.0,12.0,4.0,2.0,0.0,1.0,153.0,25.0,0.0,0.0,59.0,7.0,0.0,14.0,4.0,0.0,248.0,0.0,225
AASDHPPT,0.0,7.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,59.0,8.0,0.0,0.0,25.0,1.0,1.0,2.0,0.0,0.0,108.0,0.0,91
AASS,0.0,8.0,0.0,7.0,7.0,2.0,0.0,0.0,1.0,187.0,22.0,0.0,0.0,74.0,8.0,0.0,7.0,2.0,0.0,307.0,0.0,244
AATF,0.0,11.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,80.0,10.0,1.0,0.0,24.0,1.0,0.0,0.0,2.0,0.0,133.0,0.0,112
AATK,0.0,7.0,6.0,0.0,1.0,1.0,1.0,0.0,20.0,109.0,7.0,0.0,0.0,57.0,0.0,0.0,8.0,2.0,0.0,199.0,0.0,174
AATK-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,10
ABAT,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,95.0,7.0,0.0,0.0,45.0,3.0,0.0,1.0,0.0,0.0,158.0,0.0,130
ABCA1,0.0,35.0,0.0,3.0,25.0,5.0,2.0,0.0,38.0,354.0,25.0,0.0,0.0,113.0,11.0,0.0,31.0,6.0,0.0,574.0,0.0,404
ABCA10,0.0,14.0,0.0,13.0,18.0,6.0,2.0,0.0,8.0,295.0,41.0,0.0,0.0,74.0,7.0,0.0,20.0,6.0,0.0,452.0,0.0,326
ABCA11P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,6.0,0.0,0.0,127.0,0.0,114
ABCA12,0.0,17.0,0.0,10.0,39.0,11.0,0.0,0.0,11.0,642.0,61.0,0.0,0.0,198.0,29.0,0.0,41.0,11.0,0.0,966.0,0.0,606
ABCA13,0.0,19.0,0.0,0.0,35.0,18.0,3.0,0.0,7.0,1090.0,109.0,0.0,0.0,356.0,19.0,0.0,38.0,18.0,0.0,1600.0,0.0,977
ABCA17P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,0.0,38
ABCA2,0.0,12.0,0.0,0.0,8.0,2.0,0.0,0.0,9.0,290.0,12.0,0.0,0.0,171.0,10.0,0.0,8.0,2.0,0.0,504.0,0.0,349
ABCA3,0.0,15.0,0.0,15.0,8.0,0.0,0.0,0.0,21.0,244.0,16.0,0.0,0.0,199.0,9.0,0.0,9.0,1.0,0.0,517.0,0.0,385
ABCA4,0.0,8.0,0.0,11.0,5.0,2.0,0.0,0.0,23.0,396.0,42.0,0.0,0.0,200.0,21.0,0.0,5.0,3.0,0.0,700.0,0.0,477
ABCA5,0.0,10.0,0.0,0.0,24.0,8.0,1.0,0.0,7.0,261.0,38.0,0.0,0.0,65.0,8.0,0.0,26.0,8.0,0.0,388.0,0.0,281
ABCA6,0.0,11.0,0.0,8.0,11.0,5.0,0.0,0.0,17.0,337.0,40.0,0.0,0.0,91.0,18.0,0.0,11.0,6.0,0.0,521.0,0.0,337
ABCA7,0.0,10.0,0.0,6.0,14.0,1.0,3.0,0.0,3.0,271.0,19.0,0.0,0.0,164.0,4.0,0.0,20.0,1.0,0.0,474.0,0.0,360
ABCA8,0.0,25.0,0.0,0.0,9.0,4.0,0.0,0.0,4.0,351.0,38.0,0.0,0.0,148.0,14.0,1.0,16.0,8.0,0.0,570.0,0.0,407
ABCA9,0.0,5.0,0.0,2.0,15.0,10.0,0.0,0.0,10.0,316.0,37.0,0.0,0.0,102.0,18.0,0.0,16.0,10.0,0.0,489.0,0.0,376
ABCB1,0.0,9.0,0.0,1.0,25.0,3.0,3.0,0.0,1.0,424.0,36.0,0.0,0.0,122.0,16.0,0.0,30.0,3.0,0.0,607.0,0.0,452
ABCB10,0.0,21.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,112.0,6.0,0.0,0.0,25.0,4.0,0.0,20.0,3.0,0.0,155.0,0.0,151
ABCB11,0.0,19.0,0.0,5.0,10.0,3.0,0.0,0.0,1.0,263.0,30.0,0.0,0.0,106.0,9.0,0.0,12.0,3.0,0.0,431.0,0.0,329
ABCB4,0.0,5.0,0.0,0.0,22.0,5.0,2.0,0.0,2.0,298.0,42.0,1.0,0.0,104.0,2.0,1.0,24.0,5.0,0.0,455.0,0.0,340
ABCB5,0.0,17.0,0.0,1.0,7.0,2.0,0.0,0.0,71.0,420.0,42.0,0.0,0.0,117.0,16.0,0.0,12.0,5.0,0.0,676.0,0.0,484
ABCB6,0.0,4.0,0.0,1.0,9.0,5.0,0.0,0.0,2.0,112.0,14.0,0.0,0.0,47.0,3.0,0.0,9.0,5.0,0.0,183.0,0.0,164
ABCB7,0.0,8.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,152.0,9.0,0.0,0.0,46.0,3.0,0.0,9.0,1.0,0.0,214.0,0.0,168
ABCB8,0.0,6.0,0.0,7.0,2.0,0.0,1.0,0.0,13.0,133.0,8.0,0.0,0.0,70.0,1.0,0.0,3.0,0.0,0.0,238.0,0.0,199
ABCB9,0.0,16.0,0.0,3.0,7.0,1.0,0.0,0.0,1.0,88.0,2.0,0.0,0.0,53.0,0.0,0.0,10.0,2.0,0.0,159.0,0.0,136
ABCC1,0.0,11.0,0.0,0.0,8.0,13.0,1.0,2.0,2.0,253.0,18.0,0.0,0.0,158.0,6.0,0.0,11.0,15.0,0.0,446.0,0.0,337
ABCC10,0.0,16.0,0.0,0.0,8.0,1.0,0.0,0.0,14.0,221.0,8.0,0.0,0.0,112.0,1.0,0.0,9.0,1.0,0.0,371.0,0.0,304
ABCC11,0.0,22.0,0.0,18.0,8.0,1.0,0.0,0.0,2.0,298.0,16.0,0.0,0.0,137.0,9.0,0.0,13.0,2.0,0.0,496.0,0.0,376
ABCC12,0.0,15.0,0.0,9.0,5.0,3.0,2.0,0.0,4.0,295.0,27.0,0.0,0.0,145.0,9.0,0.0,7.0,3.0,0.0,504.0,0.0,366
ABCC13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,28
ABCC2,0.0,15.0,0.0,9.0,11.0,3.0,0.0,0.0,1.0,239.0,21.0,0.0,0.0,108.0,14.0,0.0,13.0,5.0,0.0,403.0,0.0,280
ABCC3,0.0,8.0,0.0,0.0,8.0,11.0,6.0,1.0,21.0,241.0,12.0,0.0,0.0,134.0,9.0,0.0,17.0,12.0,0.0,422.0,0.0,325
ABCC4,0.0,20.0,0.0,0.0,20.0,1.0,3.0,0.0,0.0,204.0,17.0,0.0,0.0,76.0,12.0,0.0,26.0,2.0,0.0,325.0,0.0,268
ABCC5,0.0,41.0,0.0,1.0,20.0,1.0,2.0,0.0,39.0,231.0,20.0,0.0,0.0,122.0,4.0,0.0,28.0,2.0,0.0,451.0,0.0,347
ABCC6,0.0,8.0,0.0,1.0,7.0,3.0,0.0,0.0,21.0,221.0,27.0,0.0,0.0,130.0,4.0,0.0,7.0,3.0,0.0,412.0,0.0,314
ABCC6P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,2.0,0.0,0.0,65.0,0.0,55
ABCC8,0.0,13.0,0.0,3.0,8.0,2.0,0.0,0.0,17.0,318.0,18.0,0.0,0.0,194.0,9.0,0.0,8.0,2.0,0.0,572.0,0.0,394
ABCC9,0.0,13.0,2.0,0.0,16.0,9.0,2.0,0.0,38.0,428.0,22.0,0.0,0.0,146.0,16.0,4.0,19.0,9.0,0.0,668.0,0.0,481
ABCD1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,131.0,4.0,0.0,0.0,54.0,2.0,0.0,1.0,0.0,0.0,192.0,0.0,148
ABCD2,0.0,16.0,0.0,8.0,3.0,2.0,4.0,0.0,1.0,169.0,12.0,0.0,0.0,46.0,7.0,0.0,9.0,2.0,0.0,257.0,0.0,220
ABCD3,0.0,14.0,1.0,2.0,0.0,0.0,0.0,0.0,14.0,87.0,21.0,1.0,0.0,26.0,4.0,1.0,1.0,0.0,0.0,170.0,0.0,133
ABCD4,0.0,8.0,0.0,14.0,2.0,3.0,0.0,0.0,9.0,85.0,14.0,0.0,0.0,54.0,2.0,0.0,2.0,3.0,0.0,186.0,0.0,161
ABCE1,0.0,23.0,0.0,4.0,13.0,1.0,2.0,0.0,0.0,84.0,11.0,0.0,0.0,28.0,3.0,0.0,17.0,3.0,0.0,149.0,0.0,136
ABCF1,0.0,11.0,0.0,5.0,10.0,3.0,2.0,0.0,3.0,116.0,12.0,0.0,0.0,48.0,2.0,0.0,12.0,3.0,0.0,197.0,0.0,167
ABCF2,0.0,16.0,0.0,1.0,3.0,1.0,2.0,0.0,15.0,76.0,10.0,0.0,0.0,31.0,1.0,0.0,5.0,2.0,0.0,149.0,0.0,133
ABCF3,0.0,8.0,0.0,14.0,2.0,0.0,0.0,0.0,2.0,120.0,7.0,0.0,0.0,59.0,10.0,0.0,3.0,0.0,0.0,219.0,0.0,178
ABCG1,0.0,8.0,0.0,3.0,5.0,0.0,0.0,0.0,2.0,127.0,7.0,0.0,0.0,79.0,3.0,0.0,6.0,0.0,0.0,228.0,0.0,187
ABCG2,0.0,9.0,0.0,0.0,9.0,6.0,0.0,0.0,1.0,144.0,20.0,0.0,0.0,48.0,5.0,0.0,12.0,6.0,0.0,224.0,0.0,191
ABCG4,0.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,138.0,4.0,0.0,0.0,64.0,1.0,0.0,2.0,0.0,0.0,232.0,0.0,198
ABCG5,0.0,11.0,0.0,8.0,1.0,3.0,0.0,0.0,32.0,92.0,8.0,0.0,0.0,51.0,5.0,0.0,1.0,5.0,0.0,205.0,0.0,174
ABCG8,0.0,11.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,168.0,5.0,0.0,0.0,73.0,7.0,0.0,2.0,1.0,0.0,267.0,0.0,217
ABHD1,0.0,4.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,54.0,1.0,0.0,0.0,21.0,1.0,0.0,3.0,0.0,0.0,88.0,0.0,83
ABHD10,0.0,4.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,50.0,2.0,0.0,0.0,16.0,1.0,1.0,3.0,1.0,0.0,76.0,0.0,71
ABHD11,0.0,27.0,0.0,2.0,2.0,0.0,0.0,0.0,16.0,41.0,3.0,0.0,0.0,25.0,2.0,0.0,3.0,6.0,0.0,109.0,0.0,106
ABHD12,0.0,9.0,0.0,14.0,1.0,0.0,0.0,0.0,16.0,51.0,4.0,0.0,0.0,20.0,5.0,0.0,1.0,1.0,0.0,118.0,0.0,107
ABHD12B,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,38.0,4.0,0.0,0.0,12.0,4.0,0.0,3.0,0.0,0.0,70.0,0.0,66
ABHD13,0.0,138.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,68.0,4.0,0.0,0.0,17.0,0.0,0.0,16.0,5.0,0.0,209.0,0.0,160
ABHD14A,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,41
ABHD14A-ACY1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5
ABHD14B,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,14.0,0.0,0.0,0.0,9.0,2.0,0.0,6.0,0.0,0.0,47.0,0.0,46
ABHD15,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,50.0,6.0,1.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,83.0,0.0,75
ABHD16A,0.0,12.0,0.0,5.0,6.0,1.0,0.0,0.0,14.0,77.0,5.0,0.0,0.0,29.0,9.0,0.0,9.0,2.0,0.0,147.0,0.0,130
ABHD16B,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0,0.0,28.0,0.0,0.0,2.0,0.0,0.0,82.0,0.0,71
ABHD17A,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,45.0,2.0,0.0,0.0,24.0,3.0,0.0,1.0,0.0,0.0,86.0,0.0,69
ABHD17B,0.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,36.0,44.0,3.0,1.0,0.0,14.0,0.0,1.0,11.0,4.0,0.0,96.0,0.0,92
ABHD17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,35
ABHD2,0.0,155.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,60.0,2.0,0.0,0.0,43.0,3.0,0.0,16.0,1.0,0.0,252.0,0.0,205
ABHD3,0.0,18.0,0.0,3.0,4.0,0.0,0.0,0.0,19.0,46.0,11.0,0.0,0.0,21.0,2.0,0.0,9.0,1.0,0.0,114.0,0.0,105
ABHD4,0.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,51.0,10.0,1.0,0.0,20.0,2.0,0.0,1.0,1.0,0.0,97.0,0.0,87
ABHD5,0.0,6.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,37.0,6.0,0.0,0.0,25.0,0.0,0.0,2.0,0.0,0.0,78.0,0.0,62
ABHD6,0.0,13.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,51.0,2.0,0.0,0.0,19.0,0.0,0.0,3.0,0.0,0.0,87.0,0.0,77
ABHD8,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,5.0,0.0,0.0,39.0,0.0,0.0,1.0,1.0,0.0,116.0,0.0,102
ABI1,0.0,6.0,3.0,6.0,2.0,0.0,1.0,0.0,0.0,68.0,6.0,0.0,0.0,29.0,6.0,0.0,3.0,0.0,0.0,124.0,0.0,101
ABI2,19.0,40.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,65.0,10.0,0.0,0.0,24.0,1.0,0.0,13.0,1.0,0.0,155.0,0.0,135
ABI3,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,57.0,1.0,0.0,0.0,51.0,0.0,0.0,1.0,2.0,0.0,110.0,0.0,92
ABI3BP,0.0,31.0,0.0,3.0,6.0,2.0,0.0,0.0,59.0,252.0,19.0,0.0,0.0,48.0,8.0,0.0,11.0,2.0,0.0,415.0,0.0,295
ABL1,25.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,1.0,160.0,16.0,0.0,0.0,98.0,3.0,0.0,17.0,3.0,0.0,298.0,0.0,241
ABL2,0.0,12.0,0.0,0.0,16.0,10.0,0.0,0.0,31.0,186.0,18.0,0.0,0.0,57.0,2.0,0.0,17.0,10.0,0.0,305.0,0.0,266
ABLIM1,3.0,11.0,0.0,19.0,4.0,1.0,0.0,0.0,10.0,154.0,8.0,0.0,0.0,45.0,3.0,0.0,5.0,1.0,0.0,252.0,0.0,194
ABLIM2,7.0,16.0,0.0,0.0,13.0,4.0,1.0,0.0,28.0,119.0,2.0,0.0,0.0,66.0,3.0,0.0,14.0,4.0,0.0,241.0,0.0,190
ABLIM3,0.0,39.0,2.0,16.0,2.0,1.0,0.0,0.0,3.0,149.0,8.0,0.0,0.0,58.0,1.0,0.0,4.0,1.0,0.0,274.0,0.0,216
ABO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,16
ABR,0.0,19.0,0.0,3.0,17.0,5.0,1.0,2.0,16.0,126.0,6.0,0.0,0.0,79.0,6.0,0.0,20.0,7.0,0.0,253.0,0.0,211
ABRA,0.0,10.0,0.0,8.0,2.0,0.0,2.0,0.0,0.0,117.0,3.0,0.0,0.0,40.0,0.0,0.0,4.0,0.0,0.0,177.0,1.0,158
ABRACL,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,16.0,0.0,16
ABT1,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,63.0,8.0,0.0,0.0,15.0,1.0,1.0,2.0,0.0,0.0,94.0,0.0,87
ABTB1,0.0,23.0,0.0,6.0,8.0,1.0,2.0,0.0,6.0,77.0,5.0,0.0,0.0,33.0,1.0,0.0,11.0,2.0,0.0,149.0,0.0,138
ABTB2,0.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,114.0,8.0,0.0,0.0,48.0,3.0,0.0,5.0,1.0,0.0,176.0,0.0,152
AC002310.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3
AC002456.2,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6
AC002472.1,25.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,120.0,0.0,105
AC002472.13,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,44.0,0.0,40
AC002511.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,16
AC002519.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
AC003002.6,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0,26.0,1.0,0.0,0.0,10.0,1.0,1.0,0.0,1.0,0.0,47.0,0.0,45
AC003006.7,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,35.0,0.0,29
AC003101.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,8
AC003958.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,7.0,0.0,0.0,55.0,0.0,58
AC004076.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
AC004076.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,12.0,0.0,13
AC004158.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8
AC004381.6,0.0,7.0,4.0,5.0,11.0,1.0,0.0,0.0,3.0,112.0,8.0,0.0,0.0,24.0,5.0,0.0,12.0,1.0,0.0,167.0,0.0,146
AC004410.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13
AC004466.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7
AC004702.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,55
AC004837.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
AC004840.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6
AC005003.1,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6
AC005013.5,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,6.0,1.0,0.0,143.0,0.0,117
AC005176.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2
AC005307.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,19
AC005358.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3
AC005488.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1
AC005544.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,11
AC005549.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
AC005609.1,0.0,103.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,59.0,2.0,0.0,0.0,38.0,0.0,0.0,2.0,0.0,0.0,210.0,0.0,178
AC005631.1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,23
AC005863.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,41.0,0.0,1.0,0.0,0.0,0.0,1.0,44.0,0.0,41
AC006116.24,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,27
