Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum
TRPV5,0.0,6.0,0.0,29.0,9.0,1.0,0.0,0.0,30.0,234.0,21.0,0.0,0.0,112.0,10.0,0.0,11.0,1.0,0.0,440.0,0.0,338
TRPV6,0.0,26.0,0.0,17.0,3.0,1.0,0.0,0.0,1.0,207.0,9.0,0.0,0.0,83.0,5.0,0.0,6.0,5.0,0.0,341.0,0.0,264
TRRAP,11.0,4.0,0.0,3.0,21.0,8.0,1.0,0.0,6.0,655.0,19.0,0.0,0.0,363.0,5.0,0.0,22.0,8.0,0.0,1066.0,0.0,688
TRUB1,0.0,16.0,0.0,7.0,1.0,4.0,0.0,0.0,0.0,44.0,6.0,0.0,0.0,21.0,0.0,0.0,1.0,4.0,0.0,94.0,0.0,92
TRUB2,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,42.0,1.0,0.0,0.0,18.0,4.0,0.0,1.0,0.0,0.0,79.0,0.0,77
TSACC,0.0,2.0,0.0,9.0,1.0,1.0,0.0,0.0,1.0,21.0,2.0,1.0,0.0,12.0,2.0,0.0,3.0,2.0,0.0,47.0,0.0,49
TSC1,0.0,37.0,0.0,6.0,32.0,1.0,3.0,0.0,8.0,152.0,30.0,0.0,0.0,71.0,14.0,0.0,42.0,3.0,0.0,309.0,0.0,272
TSC2,0.0,1.0,0.0,1.0,19.0,2.0,3.0,0.0,3.0,226.0,26.0,0.0,0.0,128.0,15.0,0.0,23.0,2.0,0.0,399.0,0.0,325
TSC22D1,0.0,19.0,0.0,6.0,5.0,3.0,2.0,0.0,31.0,132.0,5.0,0.0,0.0,36.0,0.0,0.0,9.0,4.0,0.0,226.0,0.0,186
TSC22D2,0.0,40.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,74.0,8.0,0.0,0.0,44.0,0.0,0.0,5.0,1.0,0.0,168.0,0.0,138
TSC22D3,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,35.0,2.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,109.0,0.0,86
TSC22D4,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,39.0,5.0,0.0,0.0,24.0,0.0,0.0,3.0,1.0,0.0,69.0,0.0,68
TSEN15,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,39.0,0.0,38
TSEN2,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,63.0,8.0,0.0,0.0,23.0,0.0,1.0,1.0,0.0,0.0,121.0,0.0,101
