Hugo_Symbol,all_mean,all_var,up_mean,up_var,down_mean,down_var
A1BG,0.016297506925207757,0.02159987218821175,0.067043961352657,0.021400204611415983,-0.05191363636363636,0.013842613342245994
A1CF,-0.03387792397660819,0.03198032585161355,0.029525245098039218,0.0062543498525196315,-0.12760434782608696,0.05539031416284584
A2M,0.02362346640701071,0.017664151056978168,0.05654106628242075,0.01840715076422937,-0.04497957957957958,0.009180853015485367
A2ML1,0.024057680872150645,0.026230140538663894,0.06210484094052559,0.020381999325563338,-0.07212447552447553,0.02818170220586431
A3GALT2,0.0018507462686567153,0.005627181931252825,0.030172499999999998,0.003860729737179487,-0.040107407407407404,0.005431059173789174
A4GALT,0.017346938775510204,0.02292893405821345,0.06982888888888888,0.02561613042786069,-0.04706272727272727,0.012237742542952464
A4GNT,0.0552421875,0.02438419711519609,0.08373247422680412,0.026214999613535593,-0.03390483870967742,0.008332464074563723
AAAS,0.018922181818181817,0.010605898593762446,0.047727127659574466,0.010352958030208212,-0.043322988505747125,0.005545891325848703
AACS,0.014378961038961038,0.014574161509334403,0.048794861660079056,0.012253631044921259,-0.05158484848484848,0.012477362516770757
AACSP1,0.0118078431372549,0.04389533439332168,0.05896166666666667,0.05921039189548021,-0.055554761904761905,0.015024936684088268
AADAC,0.066,0.04046303308219178,0.10243440366972477,0.04607275148374414,-0.03990266666666667,0.009282134317117118
AADACL2,0.05401962365591397,0.026500818293119448,0.0827170909090909,0.031529198794426005,-0.027339175257731958,0.0033777155326460474
AADACL3,-0.0023165016501650163,0.016889945687058778,0.04202974358974359,0.007134245296325669,-0.08238611111111112,0.024680669992211822
AADACL4,0.002045783132530121,0.019146798199686964,0.04501644444444444,0.01005099700515873,-0.08831308411214954,0.02638758322341738
AADAT,-0.018884357541899443,0.01993997930450067,0.035903030303030305,0.01097376478664193,-0.08668375,0.02289851428955696
AAED1,-0.005728,0.002412097718918918,0.0125,0.0009235552173913047,-0.036324999999999996,0.0034882419444444445
AAGAB,-0.02569847328244275,0.016037995843805053,0.02325,0.0037858248550724626,-0.08186885245901639,0.024392317180327874
AAK1,0.01928756567425569,0.009446527231081199,0.04141125,0.009756656489661652,-0.03246374269005848,0.004928586912968695
AAMDC,0.023669230769230772,0.060422472760181,0.07179354838709677,0.08948477462365591,-0.04737142857142857,0.010961307142857143
